what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1362396027861
stopped,bundle,org.eclipse.wb.core.databinding.xml,1.5.1.r36x201211260918,"org.eclipse.wb.core.databinding.xml",1362396027882
stopped,bundle,org.eclipse.wb.swing.databinding,1.5.1.r36x201211261029,"org.eclipse.wb.swing.databinding",1362396027883
stopped,bundle,org.eclipse.wb.core.databinding,1.5.1.r36x201211260857,"org.eclipse.wb.core.databinding",1362396027884
stopped,bundle,org.eclipse.wb.swing.FormLayout,1.5.1.r36x201211261029,"org.eclipse.wb.swing.FormLayout",1362396027885
stopped,bundle,org.eclipse.wb.swing.MigLayout,1.5.1.r36x201211261029,"org.eclipse.wb.swing.MigLayout",1362396027885
stopped,bundle,org.eclipse.wb.swing.java6,1.5.1.r36x201211261029,"org.eclipse.wb.swing.java6",1362396027886
stopped,bundle,org.eclipse.wb.swing.jsr296,1.5.1.r36x201211261029,"org.eclipse.wb.swing.jsr296",1362396027888
stopped,bundle,org.eclipse.wb.swing,1.5.1.r36x201211261029,"org.eclipse.wb.swing",1362396027890
stopped,bundle,org.eclipse.wb.core.ui,1.5.1.r36x201211260914,"org.eclipse.wb.core.ui",1362396027891
stopped,bundle,org.eclipse.wb.core.xml,1.5.1.r36x201211260918,"org.eclipse.wb.core.xml",1362396027891
stopped,bundle,org.eclipse.wb.layout.group,1.5.1.r36x201211261000,"org.eclipse.wb.layout.group",1362396027892
stopped,bundle,org.eclipse.wb.swt,1.5.1.r36x201211261022,"org.eclipse.wb.swt",1362396027893
stopped,bundle,org.eclipse.wb.core.java,1.5.1.r36x201211260857,"org.eclipse.wb.core.java",1362396027897
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1362396027897
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20101001-2300,"org.eclipse.php.server.ui",1362396027901
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.debug.ui",1362396027902
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1362396027904
stopped,bundle,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui",1362396027905
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1362396027906
stopped,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1362396027906
stopped,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1362396027907
stopped,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1362396027908
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1362396027908
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1362396027909
stopped,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1362396027910
